Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player_Aaron Gordon,Player_Aaron Holiday,Player_Al Horford,Player_Alex Caruso,Player_Andre Drummond,Player_Andre Iguodala,Player_Andrew Wiggins,Player_Anthony Edwards,Player_Austin Rivers,Player_Ayo Dosunmu,Player_Bam Adebayo,Player_Bismack Biyombo,Player_Bobby Portis,Player_Bogdan Bogdanovi?,Player_Bojan Bogdanovi?,Player_Bones Hyland,Player_Brandon Clarke,Player_Brandon Ingram,Player_Brook Lopez,Player_Bruce Brown,Player_Bryn Forbes,Player_CJ McCollum,Player_Caleb Martin,Player_Cameron Johnson,Player_Cameron Payne,Player_Charles Bassey,Player_Chris Boucher,Player_Chris Paul,Player_Clint Capela,Player_Coby White,Player_D'Angelo Russell,Player_D?vis Bert?ns,Player_Damion Lee,Player_Daniel Theis,Player_Danilo Gallinari,Player_Danny Green,Player_Danuel House Jr.,Player_De'Andre Hunter,Player_De'Anthony Melton,Player_DeMar DeRozan,Player_DeMarcus Cousins,Player_Deandre Ayton,Player_Delon Wright,Player_Derrick Jones Jr.,Player_Derrick White,Player_Desmond Bane,Player_Devin Booker,Player_Devonte' Graham,Player_Dewayne Dedmon,Player_Dillon Brooks,Player_Donovan Mitchell,Player_Dorian Finney-Smith,Player_Draymond Green,Player_Duncan Robinson,Player_Dwight Powell,Player_Elfrid Payton,Player_Eric Paschall,Player_Frank Ntilikina,Player_Fred VanVleet,Player_Furkan Korkmaz,Player_Gabe Vincent,Player_Gary Payton II,Player_Gary Trent Jr.,Player_Georges Niang,Player_Giannis Antetokounmpo,Player_Goran Dragi?,Player_Grant Williams,Player_Grayson Allen,Player_Greg Monroe,Player_Hassan Whiteside,Player_Herbert Jones,Player_Isaiah Joe,Player_Ish Wainright,Player_Ja Morant,Player_JaMychal Green,Player_Jaden McDaniels,Player_Jaden Springer,Player_Jae Crowder,Player_Jalen Brunson,Player_James Harden,Player_Jaren Jackson Jr.,Player_Jarred Vanderbilt,Player_Jarrett Culver,Player_Jaxson Hayes,Player_Jaylen Brown,Player_Jaylen Nowell,Player_Jayson Tatum,Player_Jeff Green,Player_Jevon Carter,Player_Jimmy Butler,Player_Joel Embiid,Player_John Collins,Player_John Konchar,Player_Jonas Valan?i?nas,Player_Jonathan Kuminga,Player_Jordan Clarkson,Player_Jordan Poole,Player_Jose Alvarado,Player_Josh Green,Player_Jrue Holiday,Player_Juan Toscano-Anderson,Player_Karl-Anthony Towns,Player_Kevin Durant,Player_Kevin Huerter,Player_Kevon Looney,Player_Khem Birch,Player_Khris Middleton,Player_Klay Thompson,Player_Kyle Anderson,Player_Kyle Lowry,Player_Kyrie Irving,Player_Landry Shamet,Player_Larry Nance Jr.,Player_Luka Don?i?,Player_Malik Beasley,Player_Marcus Smart,Player_Marquese Chriss,Player_Matisse Thybulle,Player_Max Strus,Player_Maxi Kleber,Player_Mikal Bridges,Player_Mike Conley,Player_Monte Morris,Player_Moses Moody,Player_Naz Reid,Player_Nemanja Bjelica,Player_Nikola Joki?,Player_Nikola Vu?evi?,Player_OG Anunoby,Player_Omer Yurtseven,Player_Onyeka Okongwu,Player_Otto Porter Jr.,Player_P.J. Tucker,Player_Pascal Siakam,Player_Pat Connaughton,Player_Patrick Beverley,Player_Patrick Williams,Player_Paul Reed,Player_Payton Pritchard,Player_Precious Achiuwa,Player_Rayjon Tucker,Player_Reggie Bullock,Player_Robert Williams,Player_Royce O'Neale,Player_Rudy Gobert,Player_Scottie Barnes,Player_Seth Curry,Player_Shake Milton,Player_Spencer Dinwiddie,Player_Stephen Curry,Player_Sterling Brown,Player_Steven Adams,Player_Taurean Prince,Player_Thaddeus Young,Player_Thanasis Antetokounmpo,Player_Tobias Harris,Player_Torrey Craig,Player_Trae Young,Player_Trey Burke,Player_Tristan Thompson,Player_Troy Brown Jr.,Player_Tyler Herro,Player_Tyrese Maxey,Player_Tyus Jones,Player_Victor Oladipo,Player_Wesley Matthews,Player_Will Barton,Player_Yuta Watanabe,Player_Zach LaVine,Player_Ziaire Williams,Pos_Center,Pos_Point Guard,Pos_Power Forward,Pos_Shooting Guard,Pos_Small Forward,Age_Group_Middle-aged,Age_Group_Old,Age_Group_Young
22.0,6,1,27.8,4.2,8.7,0.481,0.8,2.7,0.313,3.3,6.0,0.556,0.529,1.0,1.7,0.6,1.3,3.5,4.8,1.0,0.2,0.8,1.5,2.3,10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
28.0,7,5,16.3,1.3,3.0,0.429,0.0,0.0,0.0,1.3,3.0,0.429,0.429,0.9,1.6,0.545,2.1,4.3,6.4,2.1,0.1,0.1,0.6,1.7,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
24.0,18,18,34.1,5.8,9.7,0.594,0.0,0.1,0.0,5.8,9.7,0.598,0.594,3.2,4.2,0.763,2.1,5.9,8.0,2.7,1.0,0.7,2.1,3.1,14.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
26.0,12,5,25.4,3.1,6.8,0.451,1.6,4.0,0.396,1.5,2.8,0.529,0.567,0.6,0.9,0.636,0.4,2.5,2.9,1.3,0.7,0.3,0.8,1.8,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
23.0,6,0,19.5,2.7,5.5,0.485,1.0,2.7,0.375,1.7,2.8,0.588,0.576,1.7,2.2,0.769,0.3,1.0,1.3,1.5,1.2,0.2,1.2,3.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
28.0,12,1,18.4,2.4,4.3,0.569,0.3,1.0,0.25,2.2,3.3,0.667,0.598,0.9,1.5,0.611,0.8,3.5,4.3,1.8,0.9,0.6,0.8,1.8,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
27.0,12,12,37.3,11.7,23.8,0.491,0.8,3.4,0.22,10.9,20.3,0.537,0.507,7.6,11.2,0.679,2.2,12.0,14.2,6.8,0.7,1.3,4.5,3.6,31.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
29.0,8,0,2.5,0.3,0.4,0.667,0.0,0.0,0.0,0.3,0.4,0.667,0.667,0.1,0.4,0.3820000000000001,0.1,0.4,0.5,0.1,0.1,0.0,0.0,0.5,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
24.0,6,6,36.2,6.5,13.7,0.476,2.3,6.8,0.341,4.2,6.8,0.61,0.561,2.0,2.7,0.75,1.2,2.8,4.0,2.5,1.0,0.2,1.7,3.0,17.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
23.0,13,13,30.5,8.1,12.6,0.64,0.2,0.3,0.5,7.9,12.3,0.644,0.646,1.6,2.5,0.636,2.5,6.4,8.9,1.7,0.4,0.8,1.5,2.6,17.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
23.0,12,12,35.7,6.3,13.3,0.478,3.6,7.3,0.489,2.8,5.9,0.465,0.613,2.5,2.9,0.857,0.4,3.3,3.8,2.2,0.9,0.8,1.3,1.9,18.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
20.0,4,3,33.3,4.5,10.5,0.429,0.5,3.0,0.167,4.0,7.5,0.533,0.452,3.3,4.0,0.813,1.8,7.3,9.0,4.3,1.0,0.3,1.3,3.0,12.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
31.0,5,5,34.4,5.4,13.2,0.409,2.2,5.6,0.393,3.2,7.6,0.421,0.492,0.8,1.2,0.667,1.0,4.6,5.6,2.8,0.8,0.2,2.0,2.2,13.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
21.0,3,0,4.0,0.3,0.7,0.5,0.0,0.0,0.0,0.3,0.7,0.5,0.5,0.0,0.3,0.3820000000000001,0.3,1.3,1.7,0.3,0.0,0.3,0.0,0.3,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
25.0,6,0,19.8,3.2,7.3,0.432,1.3,4.2,0.32,1.8,3.2,0.579,0.523,0.8,1.0,0.833,0.3,3.0,3.3,0.7,0.3,0.2,1.2,1.5,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
29.0,18,0,10.7,1.2,3.1,0.4,1.1,2.8,0.373,0.2,0.2,0.75,0.573,0.6,0.7,0.833,0.2,1.2,1.4,0.3,0.4,0.1,0.2,1.4,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
33.0,6,6,32.3,3.5,8.2,0.429,1.5,4.3,0.346,2.0,3.8,0.522,0.52,2.5,3.7,0.682,0.7,2.5,3.2,4.8,1.2,1.2,2.0,4.7,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
